1.4,1290
CIPV_VEH_LOST,429-505_1.csv,1.627
CIPV_POS_EXCEPTION_VEH,429-505_1.csv,0.232
CIPV_POS_SHIFT_DIFF_VEH,429-505_1.csv,0.852
CIPV_THETA_DIFF_VEH,429-505_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,429-505_1.csv,0
LARGE_VEHICLE_POS_SHIFT_DIFF,429-505_1.csv,0.155
LARGE_VEHICLE_THETA_DIFF,429-505_1.csv,0.232
NarrowCIPV,429-505_1.csv,0
RadarAssignFusionMining,429-505_1.csv,0.31
RadarTrackFusionMining,429-505_1.csv,0.387
UnderlyingVelocityFusionMining,429-505_1.csv,0.31
VRUVelocityFusionMining,429-505_1.csv,1.007
RadarPositionFusionMining,429-505_1.csv,0.697
1.5,2785
CIPV_VEH_LOST,429-505_1.csv,0.251
CIPV_POS_EXCEPTION_VEH,429-505_1.csv,0
CIPV_POS_SHIFT_DIFF_VEH,429-505_1.csv,0.036
CIPV_THETA_DIFF_VEH,429-505_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,429-505_1.csv,0
LARGE_VEHICLE_POS_SHIFT_DIFF,429-505_1.csv,0.144
LARGE_VEHICLE_THETA_DIFF,429-505_1.csv,0
NarrowCIPV,429-505_1.csv,0
RadarAssignFusionMining,429-505_1.csv,0.072
RadarTrackFusionMining,429-505_1.csv,0
UnderlyingVelocityFusionMining,429-505_1.csv,0.108
VRUVelocityFusionMining,429-505_1.csv,0.467
RadarPositionFusionMining,429-505_1.csv,0.179
2.0,0
CIPV_VEH_LOST,429-505_1.csv,0
CIPV_POS_EXCEPTION_VEH,429-505_1.csv,0
CIPV_POS_SHIFT_DIFF_VEH,429-505_1.csv,0
CIPV_THETA_DIFF_VEH,429-505_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,429-505_1.csv,0
LARGE_VEHICLE_POS_SHIFT_DIFF,429-505_1.csv,0
LARGE_VEHICLE_THETA_DIFF,429-505_1.csv,0
NarrowCIPV,429-505_1.csv,0
RadarAssignFusionMining,429-505_1.csv,0
RadarTrackFusionMining,429-505_1.csv,0
UnderlyingVelocityFusionMining,429-505_1.csv,0
VRUVelocityFusionMining,429-505_1.csv,0
RadarPositionFusionMining,429-505_1.csv,0
