1.4,7769
CIPV_VEH_LOST,0520-0526_1.csv,0.051
CIPV_POS_EXCEPTION_VEH,0520-0526_1.csv,0
CIPV_POS_SHIFT_DIFF_VEH,0520-0526_1.csv,0.09
CIPV_THETA_DIFF_VEH,0520-0526_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0520-0526_1.csv,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0520-0526_1.csv,0.013
LARGE_VEHICLE_THETA_DIFF,0520-0526_1.csv,0
NarrowCIPV,0520-0526_1.csv,0
RadarAssignFusionMining,0520-0526_1.csv,0.103
RadarTrackFusionMining,0520-0526_1.csv,0.039
UnderlyingVelocityFusionMining,0520-0526_1.csv,0.064
VRUVelocityFusionMining,0520-0526_1.csv,0.077
RadarPositionFusionMining,0520-0526_1.csv,0.129
1.5,5282
CIPV_VEH_LOST,0520-0526_1.csv,0.227
CIPV_POS_EXCEPTION_VEH,0520-0526_1.csv,0
CIPV_POS_SHIFT_DIFF_VEH,0520-0526_1.csv,0
CIPV_THETA_DIFF_VEH,0520-0526_1.csv,0.038
LARGE_VEHICLE_POS_EXCEPTION,0520-0526_1.csv,0.038
LARGE_VEHICLE_POS_SHIFT_DIFF,0520-0526_1.csv,0.038
LARGE_VEHICLE_THETA_DIFF,0520-0526_1.csv,0
NarrowCIPV,0520-0526_1.csv,0
RadarAssignFusionMining,0520-0526_1.csv,0.038
RadarTrackFusionMining,0520-0526_1.csv,0.114
UnderlyingVelocityFusionMining,0520-0526_1.csv,0
VRUVelocityFusionMining,0520-0526_1.csv,0.208
RadarPositionFusionMining,0520-0526_1.csv,0
2.0,19128
CIPV_VEH_LOST,0520-0526_1.csv,0.439
CIPV_POS_EXCEPTION_VEH,0520-0526_1.csv,0.031
CIPV_POS_SHIFT_DIFF_VEH,0520-0526_1.csv,0.047
CIPV_THETA_DIFF_VEH,0520-0526_1.csv,0.01
LARGE_VEHICLE_POS_EXCEPTION,0520-0526_1.csv,0.005
LARGE_VEHICLE_POS_SHIFT_DIFF,0520-0526_1.csv,0.084
LARGE_VEHICLE_THETA_DIFF,0520-0526_1.csv,0
NarrowCIPV,0520-0526_1.csv,0.58
RadarAssignFusionMining,0520-0526_1.csv,0.021
RadarTrackFusionMining,0520-0526_1.csv,0.068
UnderlyingVelocityFusionMining,0520-0526_1.csv,0.528
VRUVelocityFusionMining,0520-0526_1.csv,0.308
RadarPositionFusionMining,0520-0526_1.csv,0.031
