1.4,1778
CIPV_VEH_LOST,0506-0512_1.csv,0.056
CIPV_POS_EXCEPTION_VEH,0506-0512_1.csv,0
CIPV_POS_SHIFT_DIFF_VEH,0506-0512_1.csv,0.225
CIPV_THETA_DIFF_VEH,0506-0512_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0506-0512_1.csv,0.056
LARGE_VEHICLE_POS_SHIFT_DIFF,0506-0512_1.csv,0.112
LARGE_VEHICLE_THETA_DIFF,0506-0512_1.csv,0
NarrowCIPV,0506-0512_1.csv,0
RadarAssignFusionMining,0506-0512_1.csv,0
RadarTrackFusionMining,0506-0512_1.csv,0.169
UnderlyingVelocityFusionMining,0506-0512_1.csv,0.056
VRUVelocityFusionMining,0506-0512_1.csv,0.112
RadarPositionFusionMining,0506-0512_1.csv,0.056
1.5,12874
CIPV_VEH_LOST,0506-0512_1.csv,0.458
CIPV_POS_EXCEPTION_VEH,0506-0512_1.csv,0.008
CIPV_POS_SHIFT_DIFF_VEH,0506-0512_1.csv,0.023
CIPV_THETA_DIFF_VEH,0506-0512_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0506-0512_1.csv,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0506-0512_1.csv,0.039
LARGE_VEHICLE_THETA_DIFF,0506-0512_1.csv,0.008
NarrowCIPV,0506-0512_1.csv,0
RadarAssignFusionMining,0506-0512_1.csv,0.093
RadarTrackFusionMining,0506-0512_1.csv,0.117
UnderlyingVelocityFusionMining,0506-0512_1.csv,0.093
VRUVelocityFusionMining,0506-0512_1.csv,0.458
RadarPositionFusionMining,0506-0512_1.csv,0.047
2.0,7668
CIPV_VEH_LOST,0506-0512_1.csv,13.509
CIPV_POS_EXCEPTION_VEH,0506-0512_1.csv,0.052
CIPV_POS_SHIFT_DIFF_VEH,0506-0512_1.csv,0.104
CIPV_THETA_DIFF_VEH,0506-0512_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0506-0512_1.csv,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0506-0512_1.csv,0.665
LARGE_VEHICLE_THETA_DIFF,0506-0512_1.csv,0
NarrowCIPV,0506-0512_1.csv,6.076
RadarAssignFusionMining,0506-0512_1.csv,0.078
RadarTrackFusionMining,0506-0512_1.csv,0.117
UnderlyingVelocityFusionMining,0506-0512_1.csv,0.496
VRUVelocityFusionMining,0506-0512_1.csv,0.73
RadarPositionFusionMining,0506-0512_1.csv,0.404
