版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,CIPV_THETA_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,LARGE_VEHICLE_THETA_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.3.39.93,3,0,0,0,0,0,0,1,0,2,0,1,0
8.3.40.19,25,0,0,0,0,1,0,1,0,0,1,1,1
8.4.37.128,0,0,0,0,0,0,0,0,1,0,0,1,2
8.4.39.68,2,0,1,0,0,0,0,0,0,0,1,0,0
8.4.39.69,0,0,0,0,0,0,0,0,0,0,0,2,0
8.4.39.70,0,0,1,0,0,1,0,0,0,0,2,7,0
8.4.39.73,1,0,0,0,0,1,0,0,0,0,0,0,0
8.4.39.74,2,0,1,0,0,0,0,0,0,0,1,6,2
8.4.39.75,4,0,1,0,0,3,0,0,0,1,1,5,2
8.4.39.76,2,0,0,0,0,1,0,0,1,1,0,7,0
