1.4,0
CIPV_VEH_LOST,0,0
CIPV_POS_EXCEPTION_VEH,0,0
CIPV_POS_SHIFT_DIFF_VEH,0,0
CIPV_THETA_DIFF_VEH,0,0
LARGE_VEHICLE_POS_EXCEPTION,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0,0
LARGE_VEHICLE_THETA_DIFF,0,0
NarrowCIPV,0,0
RadarAssignFusionMining,0,0
RadarTrackFusionMining,0,0
UnderlyingVelocityFusionMining,0,0
VRUVelocityFusionMining,0,0
RadarPositionFusionMining,0,0
1.5,3500
CIPV_VEH_LOST,5,0.143
CIPV_POS_EXCEPTION_VEH,0,0
CIPV_POS_SHIFT_DIFF_VEH,1,0.029
CIPV_THETA_DIFF_VEH,0,0
LARGE_VEHICLE_POS_EXCEPTION,1,0.029
LARGE_VEHICLE_POS_SHIFT_DIFF,3,0.086
LARGE_VEHICLE_THETA_DIFF,0,0
NarrowCIPV,0,0
RadarAssignFusionMining,1,0.029
RadarTrackFusionMining,1,0.029
UnderlyingVelocityFusionMining,3,0.086
VRUVelocityFusionMining,11,0.314
RadarPositionFusionMining,2,0.057
2.0,5790
CIPV_VEH_LOST,615,10.621
CIPV_POS_EXCEPTION_VEH,2,0.035
CIPV_POS_SHIFT_DIFF_VEH,5,0.086
CIPV_THETA_DIFF_VEH,0,0
LARGE_VEHICLE_POS_EXCEPTION,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,27,0.466
LARGE_VEHICLE_THETA_DIFF,1,0.017
NarrowCIPV,274,4.732
RadarAssignFusionMining,1,0.017
RadarTrackFusionMining,3,0.052
UnderlyingVelocityFusionMining,20,0.345
VRUVelocityFusionMining,27,0.466
RadarPositionFusionMining,13,0.225
