事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,26, 0.147, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,2, 0.011, 0, 0, 0, 0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,6, 0.034, 0, 0, 0, 0
['CIPV_THETA_DIFF_VEH', 'CIPV车辆朝向异常'],0,0,0,0,0,0
['LARGE_VEHICLE_POS_EXCEPTION', '大车位置异常触发器'],0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,12, 0.068, 0, 0, 0, 0
['LARGE_VEHICLE_THETA_DIFF', '大车朝向异常触发器'],0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,16, 0.09, 0, 0, 0, 0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),4, 0.023, 0, 0, 0, 0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,2, 0.011, 0, 0, 0, 0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),25, 0.141, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),33, 0.187, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),5, 0.028, 0, 0, 0, 0
,自动驾驶里程,17694

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,2, 0.111, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,0,0,0,0,0,0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,2, 0.111, 0, 0, 0, 0
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,2, 0.111, 0, 0, 0, 0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),0,0,0,0,0,0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,0,0,0,0,0,0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),1, 0.055, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),1, 0.055, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),0,0,0,0,0,0
,自动驾驶里程（km）,1808

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,24, 0.151, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,2, 0.013, 0, 0, 0, 0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,4, 0.025, 0, 0, 0, 0
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,12, 0.076, 0, 0, 0, 0
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,14, 0.088, 0, 0, 0, 0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),4, 0.025, 0, 0, 0, 0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,2, 0.013, 0, 0, 0, 0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),24, 0.151, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),32, 0.201, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),5, 0.031, 0, 0, 0, 0
,自动驾驶里程（km）,15885

