版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,CIPV_THETA_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,LARGE_VEHICLE_THETA_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.3.40.26,1,0,1,0,0,0,0,0,0,0,1,1,0
8.3.47.19,1,0,1,0,0,0,0,2,0,0,0,0,0
8.4.40.50,2,0,1,0,0,6,0,2,0,0,3,3,2
8.4.40.52,0,0,0,0,0,0,0,0,1,0,0,3,1
8.4.40.53,3,0,0,0,0,0,0,0,0,0,1,3,1
8.4.40.54,3,0,1,0,0,1,0,3,0,0,1,4,0
8.4.40.55,4,0,2,0,0,0,0,2,0,0,6,8,0
8.4.40.56,3,1,0,0,0,2,0,4,1,1,3,8,1
8.4.40.57,6,0,0,0,0,0,0,2,0,1,1,0,0
8.4.40.58,2,1,0,0,0,0,0,1,0,0,4,2,0
8.4.40.59,1,0,0,0,0,2,0,0,0,0,1,0,0
8.4.40.60,0,0,0,0,0,1,0,0,2,0,4,1,0
