事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,21, 0.159, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,2, 0.015, 0, 0, 0, 0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,10, 0.076, 0, 0, 0, 0
['CIPV_THETA_DIFF_VEH', 'CIPV车辆朝向异常'],0,0,0,0,0,0
['LARGE_VEHICLE_POS_EXCEPTION', '大车位置异常触发器'],0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,15, 0.113, 0, 0, 0, 0
['LARGE_VEHICLE_THETA_DIFF', '大车朝向异常触发器'],0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,23, 0.174, 0, 0, 0, 0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),6, 0.045, 0, 0, 0, 0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,4, 0.03, 0, 0, 0, 0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),32, 0.242, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),30, 0.227, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),2, 0.015, 0, 0, 0, 0
,自动驾驶里程,13243

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,0,0,0,0,0,0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,0,0,0,0,0,0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,6, 29.895, 0, 0, 0, 0
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,2, 9.965, 0, 0, 0, 0
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,0,0,0,0,0,0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),0,0,0,0,0,0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,0,0,0,0,0,0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),0,0,0,0,0,0
VRUVelocityFusionMining,视觉速度朝向(行人),0,0,0,0,0,0
RadarPositionFusionMining,视觉位置跳动(CIPV),0,0,0,0,0,0
,自动驾驶里程（km）,20

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,21, 0.159, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,2, 0.015, 0, 0, 0, 0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,4, 0.03, 0, 0, 0, 0
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,13, 0.098, 0, 0, 0, 0
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,23, 0.174, 0, 0, 0, 0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),6, 0.045, 0, 0, 0, 0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,4, 0.03, 0, 0, 0, 0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),32, 0.242, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),30, 0.227, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),2, 0.015, 0, 0, 0, 0
,自动驾驶里程（km）,13223

