事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,27, 0.129, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,2, 0.01, 0, 0, 0, 0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,6, 0.029, 0, 0, 0, 0
['CIPV_THETA_DIFF_VEH', 'CIPV车辆朝向异常'],0,0,0,0,0,0
['LARGE_VEHICLE_POS_EXCEPTION', '大车位置异常触发器'],0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,3, 0.014, 0, 0, 0, 0
['LARGE_VEHICLE_THETA_DIFF', '大车朝向异常触发器'],0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,28, 0.134, 0, 0, 0, 0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),4, 0.019, 0, 0, 0, 0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,6, 0.029, 0, 0, 0, 0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),29, 0.139, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),18, 0.086, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),7, 0.034, 0, 0, 0, 0
,自动驾驶里程,20879

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,2, 0.416, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,0,0,0,0,0,0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,0,0,0,0,0,0
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,0,0,0,0,0,0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),0,0,0,0,0,0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,0,0,0,0,0,0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),0,0,0,0,0,0
VRUVelocityFusionMining,视觉速度朝向(行人),4, 0.832, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),0,0,0,0,0,0
,自动驾驶里程（km）,480

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,25, 0.123, 0, 0, 0, 0
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,2, 0.01, 0, 0, 0, 0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,6, 0.029, 0, 0, 0, 0
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,3, 0.015, 0, 0, 0, 0
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,28, 0.137, 0, 0, 0, 0
RadarAssignFusionMining,视觉ID跳变(短暂丢失),4, 0.02, 0, 0, 0, 0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,6, 0.029, 0, 0, 0, 0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),29, 0.142, 0, 0, 0, 0
VRUVelocityFusionMining,视觉速度朝向(行人),14, 0.069, 0, 0, 0, 0
RadarPositionFusionMining,视觉位置跳动(CIPV),7, 0.034, 0, 0, 0, 0
,自动驾驶里程（km）,20398

