事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,88, 0.211, 7, 7, 81, 78
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,3, 0.007, 0, 0, 3, 3
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,26, 0.062, 9, 9, 17, 17
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,1, 0.002, 1, 1, 0, 0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,128, 0.307, 107, 106, 21, 21
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,166, 0.398, 70, 70, 96, 95
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,17, 0.041, 0, 0, 17, 17
NarrowCIPV,narrow报出cipv,545, 1.307, 77, 9, 468, 111
RadarAssignFusionMining,视觉ID跳变(短暂丢失),15, 0.036, 0, 0, 15, 6
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,37, 0.089, 0, 0, 37, 14
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),206, 0.494, 0, 0, 206, 70
VRUVelocityFusionMining,视觉速度朝向(行人),105, 0.252, 0, 0, 105, 30
RadarPositionFusionMining,视觉位置跳动(CIPV),56, 0.134, 0, 0, 56, 10
,自动驾驶里程,41698

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,7, 0.124, 3, 3, 4, 4
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,1, 0.018, 0, 0, 1, 1
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,2, 0.035, 1, 1, 1, 1
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,2, 0.035, 0, 0, 2, 2
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,12, 0.212, 7, 7, 5, 5
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,1, 0.018, 0, 0, 1, 1
NarrowCIPV,narrow报出cipv,38, 0.672, 9, 1, 29, 4
RadarAssignFusionMining,视觉ID跳变(短暂丢失),0,0,0,0,0,0
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,2, 0.035, 0, 0, 2, 0
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),29, 0.513, 0, 0, 29, 8
VRUVelocityFusionMining,视觉速度朝向(行人),9, 0.159, 0, 0, 9, 4
RadarPositionFusionMining,视觉位置跳动(CIPV),5, 0.088, 0, 0, 5, 2
,自动驾驶里程（km）,5656

事件,触发器,总数,百公里触发次数,高速全部,高速有回传,城市全部,城市有回传
CIPV_VEH_LOST,车辆CIPV丢失触发器,23, 1.087, 0, 0, 23, 23
CIPV_POS_EXCEPTION_VEH,车辆CIPV位置异常触发器,0,0,0,0,0,0
CIPV_POS_SHIFT_DIFF_VEH,车辆CIPV位置速度自洽性异常触发器,3, 0.142, 0, 0, 3, 3
CIPV_THETA_DIFF_VEH,CIPV车辆朝向异常,0,0,0,0,0,0
LARGE_VEHICLE_POS_EXCEPTION,大车位置异常触发器,0,0,0,0,0,0
LARGE_VEHICLE_POS_SHIFT_DIFF,大车位置速度自洽性异常触发器,1, 0.047, 0, 0, 1, 1
LARGE_VEHICLE_THETA_DIFF,大车朝向异常触发器,0,0,0,0,0,0
NarrowCIPV,narrow报出cipv,15, 0.709, 0, 0, 15, 4
RadarAssignFusionMining,视觉ID跳变(短暂丢失),5, 0.236, 0, 0, 5, 1
RadarTrackFusionMining,视觉目标长时间丢失(CIPV,19, 0.898, 0, 0, 19, 6
UnderlyingVelocityFusionMining,视觉速度灵敏性(CIPV),8, 0.378, 0, 0, 8, 2
VRUVelocityFusionMining,视觉速度朝向(行人),10, 0.473, 0, 0, 10, 3
RadarPositionFusionMining,视觉位置跳动(CIPV),5, 0.236, 0, 0, 5, 1
,自动驾驶里程（km）,2115

