版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,CIPV_THETA_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,LARGE_VEHICLE_THETA_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.3.48.27,0,0,6,0,0,2,0,0,0,0,0,0,0
8.4.37.129,0,0,0,0,0,0,0,0,1,2,1,1,0
8.4.37.131,1,0,1,0,0,1,0,0,4,2,2,4,0
8.4.40.61,0,0,1,0,0,0,0,0,0,0,1,0,0
8.4.40.74,4,2,0,0,0,3,0,5,0,0,4,5,1
8.4.40.75,0,0,0,0,0,0,0,0,0,0,0,1,0
8.4.40.76,0,0,0,0,0,0,0,0,0,0,1,1,0
8.4.40.77,0,0,0,0,0,1,0,0,0,0,3,0,0
8.4.40.79,3,0,0,0,0,3,0,4,0,0,5,1,1
8.4.40.80,0,0,0,0,0,0,0,1,0,0,0,0,0
8.4.40.81,1,0,0,0,0,1,0,3,0,0,2,1,0
8.4.40.82,0,0,1,0,0,1,0,1,0,0,0,1,0
8.4.40.83,3,0,0,0,0,0,0,3,0,0,4,3,0
8.4.40.84,6,0,1,0,0,1,0,4,0,0,4,4,0
8.4.40.85,3,0,0,0,0,2,0,2,1,0,5,8,0
