版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,CIPV_THETA_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,LARGE_VEHICLE_THETA_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.1.39.86,0,0,0,0,0,0,0,0,0,0,0,3,0
8.3.40.26,1,0,1,0,0,0,0,0,0,0,1,1,0
8.3.40.28,1,0,1,0,0,1,0,0,0,0,0,0,0
8.3.40.44,28,0,0,0,0,1,0,11,0,0,2,0,0
8.3.47.3,16,0,0,0,0,0,0,8,0,0,0,0,0
8.3.47.11,17,0,1,0,0,1,0,5,0,0,0,0,1
8.3.47.13,11,0,0,0,0,0,0,2,0,0,0,0,0
8.3.47.14,168,0,2,0,0,3,0,52,0,4,3,1,0
8.3.47.15,26,0,0,0,0,0,0,14,0,1,0,2,0
8.3.47.16,60,0,0,0,0,0,0,26,1,0,2,0,0
8.3.47.17,476,2,3,0,0,0,0,228,1,4,21,7,4
8.3.47.18,67,0,0,0,0,0,0,35,1,2,2,0,1
8.3.47.19,356,0,3,0,0,0,0,163,0,2,3,9,18
8.3.47.20,455,0,1,2,0,0,0,175,1,3,9,3,1
8.3.47.21,513,0,2,0,0,2,1,205,0,8,6,8,12
8.3.47.22,311,0,0,0,0,0,0,119,0,2,7,6,0
8.3.47.23,48,0,0,0,0,0,0,60,1,3,3,1,14
8.3.47.24,24,0,1,0,0,0,0,18,0,1,1,0,1
8.3.47.25,11,0,0,0,0,0,0,11,0,0,0,2,0
8.3.47.26,74,0,1,0,0,0,0,76,2,1,7,4,8
8.3.47.27,7,0,0,0,0,0,0,5,0,0,1,1,0
8.3.47.28,8,0,2,0,0,0,0,9,1,0,3,1,0
8.3.47.29,0,0,0,0,0,0,0,0,0,0,1,3,0
8.3.47.30,8,0,0,0,0,0,0,0,0,0,0,0,0
8.4.37.129,4,0,0,0,1,3,0,0,1,2,1,2,2
8.4.37.130,1,1,2,0,0,0,0,0,2,2,2,0,1
8.4.39.72,0,0,4,0,0,0,0,0,0,0,1,0,0
8.4.39.82,34,0,1,0,0,2,0,0,17,26,14,33,0
8.4.40.47,0,1,0,0,0,0,0,0,0,0,0,0,0
8.4.40.48,2,0,1,0,0,3,0,1,0,2,5,5,0
8.4.40.49,1,0,1,0,0,7,0,0,1,0,2,4,2
8.4.40.50,3,0,2,0,0,10,0,5,0,0,3,3,2
8.4.40.51,3,0,0,0,0,0,0,1,0,0,4,4,0
8.4.40.52,24,0,3,0,0,2,0,10,2,1,5,8,1
8.4.40.53,5,0,0,0,0,0,0,1,0,1,1,4,1
8.4.40.54,5,0,2,0,0,1,0,4,0,1,2,5,0
8.4.40.55,6,0,3,0,0,1,0,3,0,1,11,12,1
8.4.40.56,11,2,2,0,0,5,0,11,3,2,11,13,1
8.4.40.57,5,0,0,0,0,0,0,2,0,1,5,0,0
8.4.40.58,2,1,0,0,0,0,0,1,0,0,4,2,0
8.4.40.59,2,0,0,0,0,2,0,0,0,0,1,0,0
8.4.40.60,0,0,0,0,0,1,0,0,2,0,4,1,0
