1.4,6643
CIPV_VEH_LOST,0415-0421_1.csv,0.647
CIPV_POS_EXCEPTION_VEH,0415-0421_1.csv,0.015
CIPV_POS_SHIFT_DIFF_VEH,0415-0421_1.csv,0.196
CIPV_THETA_DIFF_VEH,0415-0421_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0415-0421_1.csv,0.03
LARGE_VEHICLE_POS_SHIFT_DIFF,0415-0421_1.csv,0.105
LARGE_VEHICLE_THETA_DIFF,0415-0421_1.csv,0
NarrowCIPV,0415-0421_1.csv,0
RadarAssignFusionMining,0415-0421_1.csv,0.421
RadarTrackFusionMining,0415-0421_1.csv,0.361
UnderlyingVelocityFusionMining,0415-0421_1.csv,0.151
VRUVelocityFusionMining,0415-0421_1.csv,0.331
RadarPositionFusionMining,0415-0421_1.csv,0.482
1.5,9955
CIPV_VEH_LOST,0415-0421_1.csv,0.542
CIPV_POS_EXCEPTION_VEH,0415-0421_1.csv,0.01
CIPV_POS_SHIFT_DIFF_VEH,0415-0421_1.csv,0.1
CIPV_THETA_DIFF_VEH,0415-0421_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0415-0421_1.csv,0.01
LARGE_VEHICLE_POS_SHIFT_DIFF,0415-0421_1.csv,0.09
LARGE_VEHICLE_THETA_DIFF,0415-0421_1.csv,0
NarrowCIPV,0415-0421_1.csv,0
RadarAssignFusionMining,0415-0421_1.csv,0.09
RadarTrackFusionMining,0415-0421_1.csv,0.1
UnderlyingVelocityFusionMining,0415-0421_1.csv,0.11
VRUVelocityFusionMining,0415-0421_1.csv,0.251
RadarPositionFusionMining,0415-0421_1.csv,0.462
2.0,0
CIPV_VEH_LOST,0415-0421_1.csv,0
CIPV_POS_EXCEPTION_VEH,0415-0421_1.csv,0
CIPV_POS_SHIFT_DIFF_VEH,0415-0421_1.csv,0
CIPV_THETA_DIFF_VEH,0415-0421_1.csv,0
LARGE_VEHICLE_POS_EXCEPTION,0415-0421_1.csv,0
LARGE_VEHICLE_POS_SHIFT_DIFF,0415-0421_1.csv,0
LARGE_VEHICLE_THETA_DIFF,0415-0421_1.csv,0
NarrowCIPV,0415-0421_1.csv,0
RadarAssignFusionMining,0415-0421_1.csv,0
RadarTrackFusionMining,0415-0421_1.csv,0
UnderlyingVelocityFusionMining,0415-0421_1.csv,0
VRUVelocityFusionMining,0415-0421_1.csv,0
RadarPositionFusionMining,0415-0421_1.csv,0
