版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,CIPV_THETA_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,LARGE_VEHICLE_THETA_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.3.39.93,2,0,0,0,0,0,0,2,0,0,0,0,0
8.4.39.58,3,0,0,0,0,1,0,0,1,1,0,0,22
8.4.39.60,1,0,0,0,1,1,0,0,0,0,0,1,0
8.4.39.61,1,0,0,0,0,0,0,0,1,0,0,2,0
8.4.39.62,0,0,0,0,0,1,0,0,0,0,0,0,0
8.4.39.63,2,0,1,0,0,0,0,0,1,0,0,2,0
8.4.39.64,0,0,3,0,0,0,0,0,0,0,0,0,0
8.4.39.65,4,0,1,0,0,2,0,0,1,1,2,2,4
8.4.39.67,3,0,2,0,0,2,0,0,0,0,1,2,5
8.4.39.68,6,0,2,0,0,1,0,0,0,0,0,2,5
